CREATED_AT	SAMPLE	PROJECT	LIBRARIES	MACHINE_NAME
2012-10-26 10:31:55.0	NA12878	C262	3	SL-XAX
2012-10-26 10:31:55.0	NA12878	C262	3	SL-XBE
2012-10-26 10:31:55.0	NA12878	C263	3	SL-XAX
2012-10-26 10:31:55.0	NA12878	C263	3	SL-XBE
2012-10-26 10:31:55.0	NA12878	C321	5	SL-HAG
2012-10-26 10:31:55.0	NA12878	C321	5	SL-HAR
2012-10-26 10:31:55.0	NA12878	C321	5	SL-HBD
2012-10-26 10:31:55.0	NA12878	C321	5	SL-HBM
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XAN
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XAW
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XAX
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XBG
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XBJ
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XBP
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XBT
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XBX
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XBY
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XCC
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XCQ
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XCR
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XCS
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XCT
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XCU
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDC
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDD
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDF
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDG
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDK
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDN
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDS
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDW
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XDX
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XEA
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XEC
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XED
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XEF
2012-10-26 10:31:55.0	NA12878	C321	5	SL-XEG
2012-10-26 10:31:55.0	NA12878	C350	8	SL-XCL
2012-10-26 10:31:55.0	NA12878	C350	8	SL-XCQ
2012-10-26 10:31:55.0	NA12878	C350	8	SL-XDB
2012-10-26 10:31:55.0	NA12878	C350	8	SL-XDJ
2012-10-26 10:31:55.0	NA12878	C350	8	SL-XDM
2012-10-26 10:31:55.0	NA12878	C428	2	SL-HAF
2012-10-26 10:31:55.0	NA12878	C428	2	SL-HAN
2012-10-26 10:31:55.0	NA12878	C428	2	SL-HAS
2012-10-26 10:31:55.0	NA12878	C496	4	SL-HAQ
2012-10-26 10:31:55.0	NA12878	C497	2	SL-HAQ
2012-10-26 10:31:55.0	NA12878	C498	2	SL-HAQ
2012-10-26 10:31:55.0	NA12878	C527	4	SL-HAA
2012-10-26 10:31:55.0	NA12878	C578	20	SL-HAY
2012-10-26 10:31:55.0	NA12878	C599	20	SL-HAM
2012-10-26 10:31:55.0	NA12878	C605	4	SL-HAS
2012-10-26 10:31:55.0	NA12878	C631	2	SL-HBG
2012-10-26 10:31:55.0	NA12878	C632	8	SL-HAY
2012-10-26 10:31:55.0	NA12878	C638	16	SL-HBL
2012-10-26 10:31:55.0	NA12878	C639	8	SL-HBL
2012-10-26 10:31:55.0	NA12878	C761	6	SL-HAA
2012-10-26 10:31:55.0	NA12878	C761	6	SL-MAA
2012-10-26 10:31:55.0	NA12878	C761	6	SL-MAC
2012-10-26 10:31:55.0	NA12878	D1181	2	SL-HAA
2012-10-26 10:31:55.0	NA12878	D1181	2	SL-HAF
2012-10-26 10:31:55.0	NA12878	D1181	2	SL-HAR
2012-10-26 10:31:55.0	NA12878	D1283	2	SL-HAD
2012-10-26 10:31:55.0	NA12878	D1283	2	SL-HAG
2012-10-26 10:31:55.0	NA12878	D1283	2	SL-HAR
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAB
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAE
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAJ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAQ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAT
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAU
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAW
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HAZ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HBA
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HBF
2012-10-26 10:31:55.0	NA12878	D451	5	SL-HBM
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAJ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAK
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAL
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAM
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAN
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAP
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAQ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAS
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAT
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAV
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAW
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAY
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XAZ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBA
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBB
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBD
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBE
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBF
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBG
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBH
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBN
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBP
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBQ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBR
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XBW
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XCA
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XCF
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XCQ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XCV
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XCW
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDC
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDF
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDH
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDQ
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDR
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDV
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDW
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XDX
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XEA
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XEC
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XED
2012-10-26 10:31:55.0	NA12878	D451	5	SL-XEF
2012-10-26 10:31:55.0	NA12878	D640	8	SL-HAB
2012-10-26 10:31:55.0	NA12878	D646	10	SL-HAK
2012-10-26 10:31:55.0	NA12878	D726	10	SL-HBY
2012-10-26 10:31:55.0	NA12878	D727	2	SL-HAS
2012-10-26 10:31:55.0	NA12878	D731	2	SL-HAM
2012-10-26 10:31:55.0	NA12878	D732	2	SL-HAM
2012-10-26 10:31:55.0	NA12878	D848	15	SL-HAM
2012-10-26 10:31:55.0	NA12878	D848	15	SL-HAR
2012-10-26 10:31:55.0	NA12878	D848	15	SL-HBJ
2012-10-26 10:31:55.0	NA12878	D877	3	SL-HAS
2012-10-26 10:31:55.0	NA12878	D877	3	SL-HAY
2012-10-26 10:31:55.0	NA12878	EXT1	2	SL-HAA
2012-10-26 10:31:55.0	NA12878	G12737	16	SL-XEE
2012-10-26 10:31:55.0	NA12878	G13098	4	SL-HAB
2012-10-26 10:31:55.0	NA12878	G13333	6	SL-HAU
2012-10-26 10:31:55.0	NA12878	G13334	4	SL-HAU
2012-10-26 10:31:55.0	NA12878	G13371	2	SL-HBN
2012-10-26 10:31:55.0	NA12878	G13371	2	SL-MIS
2012-10-26 10:31:55.0	NA12878	G13987	8	SL-HBD
2012-10-26 10:31:55.0	NA12878	G14167	8	SL-HAV
2012-10-26 10:31:55.0	NA12878	G14296	3	SL-HBQ
2012-10-26 10:31:55.0	NA12878	G14302	4	SL-HBJ
2012-10-26 10:31:55.0	NA12878	G14302	4	SL-HBN
2012-10-26 10:31:55.0	NA12878	G2902	8	SL-XBE
2012-10-26 10:31:55.0	NA12878	G2902	8	SL-XCR
2012-10-26 10:31:55.0	NA12878	G2946	2	SL-XAX
2012-10-26 10:31:55.0	NA12878	G2946	2	SL-XBX
2012-10-26 10:31:55.0	NA12878	G2946	2	SL-XCC
2012-10-26 10:31:55.0	NA12878	G2946	2	SL-XCM
2012-10-26 10:31:55.0	NA12878	G3462	2	SL-XCL
2012-10-26 10:31:55.0	NA12878	G3462	2	SL-XDQ
2012-10-26 10:31:55.0	NA12878	G6178	13	SL-XCL
2012-10-26 10:31:55.0	NA12878	G6178	13	SL-XCN
2012-10-26 10:31:55.0	NA12878	G6178	13	SL-XDC
2012-10-26 10:31:55.0	NA12878	G6190	12	SL-HAB
2012-10-26 10:31:55.0	NA12878	G6190	12	SL-XCL
2012-10-26 10:31:55.0	NA12878	G6190	12	SL-XCN
2012-10-26 10:31:55.0	NA12878	G6191	12	SL-HAB
2012-10-26 10:31:55.0	NA12878	G8194	4	SL-XCU
2012-10-26 10:31:55.0	NA12878	G9166	3	SL-HBA
2012-10-26 10:31:55.0	NA12878	G9166	3	SL-HBC
2012-10-26 10:31:55.0	NA12878	G9166	3	SL-HBG
2013-03-21 17:34:44.0	NA12878	C292	5	SL-HAE
